

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    48.00000 -0.241232E+01  0.807386E-01 -0.241231E+01  0.821253E-01 -0.479061E+01   -864.632   -856.375   -852.186      48
    49.00000 -0.241232E+01  0.807386E-01 -0.241231E+01  0.821701E-01 -0.480590E+01   -879.199   -870.943   -866.755      49
    50.00000 -0.241232E+01  0.807386E-01 -0.241230E+01  0.822150E-01 -0.482052E+01   -893.128   -884.873   -880.686      50
    51.00000 -0.241232E+01  0.807386E-01 -0.241231E+01  0.822598E-01 -0.483451E+01   -906.453   -898.199   -894.013      51
    52.00000 -0.241232E+01  0.807386E-01 -0.241231E+01  0.823047E-01 -0.484788E+01   -919.198   -910.946   -906.761      52
    53.00000 -0.241232E+01  0.809551E-01 -0.241231E+01  0.825271E-01 -0.486067E+01   -931.390   -923.140   -918.956      53
    54.00000 -0.241232E+01  0.811703E-01 -0.241231E+01  0.827481E-01 -0.487290E+01   -943.271   -934.984   -930.765      54
    55.00000 -0.241232E+01  0.814871E-01 -0.241231E+01  0.830662E-01 -0.488458E+01   -954.563   -946.272   -942.048      55
    56.00000 -0.241232E+01  0.821387E-01 -0.241232E+01  0.837177E-01 -0.489575E+01   -965.508   -957.198   -952.953      56
    57.00000 -0.241232E+01  0.833983E-01 -0.241233E+01  0.849773E-01 -0.490640E+01   -976.322   -967.955   -963.652      57
    58.00000 -0.241232E+01  0.852936E-01 -0.241234E+01  0.868726E-01 -0.491654E+01   -987.288   -978.808   -974.390      58
    59.00000 -0.241232E+01  0.874966E-01 -0.241235E+01  0.890756E-01 -0.492616E+01   -998.365   -989.747   -985.187      59
    60.00000 -0.241232E+01  0.899241E-01 -0.241235E+01  0.915031E-01 -0.493525E+01  -1010.280  -1001.224   -996.324      60
    61.00000 -0.241232E+01  0.923459E-01 -0.241235E+01  0.939250E-01 -0.494399E+01  -1025.028  -1016.014  -1011.036      61
    62.00000 -0.241232E+01  0.948432E-01 -0.241236E+01  0.964222E-01 -0.495247E+01  -1039.593  -1030.679  -1025.833      62
    63.00000 -0.241232E+01  0.969468E-01 -0.241235E+01  0.985258E-01 -0.496070E+01  -1054.208  -1045.281  -1040.422      63
    64.00000 -0.241232E+01  0.986560E-01 -0.241234E+01  0.100235E+00 -0.496869E+01  -1067.823  -1058.970  -1054.187      64
    65.00000 -0.241232E+01  0.100895E+00 -0.241235E+01  0.102474E+00 -0.497647E+01  -1080.657  -1071.885  -1067.183      65
    66.00000 -0.241232E+01  0.102888E+00 -0.241235E+01  0.104467E+00 -0.498402E+01  -1094.197  -1085.308  -1080.489      66
    67.00000 -0.241232E+01  0.104392E+00 -0.241234E+01  0.105971E+00 -0.499136E+01  -1106.766  -1097.909  -1093.119      67
    68.00000 -0.241232E+01  0.104974E+00 -0.241232E+01  0.106553E+00 -0.499850E+01  -1118.426  -1109.666  -1104.977      68
    69.00000 -0.241232E+01  0.105223E+00 -0.241231E+01  0.106805E+00 -0.500546E+01  -1128.397  -1119.867  -1115.411      69
    70.00000 -0.241232E+01  0.105644E+00 -0.241232E+01  0.107226E+00 -0.501226E+01  -1137.961  -1129.547  -1125.211      70
    71.00000 -0.241232E+01  0.105758E+00 -0.241231E+01  0.107356E+00 -0.501889E+01  -1147.625  -1139.195  -1134.841      71
    72.00000 -0.241232E+01  0.106299E+00 -0.241232E+01  0.107897E+00 -0.502537E+01  -1156.482  -1148.135  -1143.866      72
    73.00000 -0.241232E+01  0.107189E+00 -0.241233E+01  0.108787E+00 -0.503170E+01  -1166.055  -1157.596  -1153.215      73
    74.00000 -0.241232E+01  0.107979E+00 -0.241233E+01  0.109577E+00 -0.503787E+01  -1175.732  -1167.167  -1162.677      74
    75.00000 -0.241232E+01  0.108557E+00 -0.241232E+01  0.110155E+00 -0.504388E+01  -1184.950  -1176.380  -1171.885      75
    76.00000 -0.241232E+01  0.108846E+00 -0.241232E+01  0.110446E+00 -0.504975E+01  -1193.659  -1185.136  -1180.688      76
    77.00000 -0.241232E+01  0.109174E+00 -0.241232E+01  0.110774E+00 -0.505547E+01  -1201.744  -1193.309  -1188.950      77
    78.00000 -0.241232E+01  0.109647E+00 -0.241232E+01  0.111247E+00 -0.506105E+01  -1209.842  -1201.410  -1197.056      78
    79.00000 -0.241232E+01  0.111091E+00 -0.241234E+01  0.112691E+00 -0.506651E+01  -1217.950  -1209.479  -1205.084      79
    80.00000 -0.241232E+01  0.112951E+00 -0.241235E+01  0.114552E+00 -0.507181E+01  -1227.564  -1218.790  -1214.089      80
    81.00000 -0.241232E+01  0.115903E+00 -0.241237E+01  0.117504E+00 -0.507695E+01  -1237.184  -1228.216  -1223.315      81
    82.00000 -0.241232E+01  0.119629E+00 -0.241239E+01  0.121230E+00 -0.508192E+01  -1248.530  -1239.141  -1233.812      82
    83.00000 -0.241232E+01  0.123996E+00 -0.241240E+01  0.125597E+00 -0.508670E+01  -1260.390  -1250.630  -1244.925      83
    84.00000 -0.241232E+01  0.128878E+00 -0.241241E+01  0.130479E+00 -0.509128E+01  -1272.953  -1262.826  -1256.750      84
    85.00000 -0.241232E+01  0.134337E+00 -0.241242E+01  0.135937E+00 -0.509566E+01  -1285.861  -1275.395  -1268.976      85
    86.00000 -0.241232E+01  0.140260E+00 -0.241243E+01  0.141861E+00 -0.509981E+01  -1300.167  -1288.977  -1281.961      86
    87.00000 -0.241232E+01  0.145815E+00 -0.241242E+01  0.147415E+00 -0.510377E+01  -1318.510  -1306.632  -1298.737      87
    88.00000 -0.241232E+01  0.150781E+00 -0.241241E+01  0.152381E+00 -0.510761E+01  -1336.330  -1324.925  -1317.541      88
    89.00000 -0.241232E+01  0.155321E+00 -0.241240E+01  0.156922E+00 -0.511135E+01  -1353.068  -1341.896  -1334.748      89
    90.00000 -0.241232E+01  0.159186E+00 -0.241239E+01  0.160787E+00 -0.511499E+01  -1368.925  -1357.972  -1351.050      90
    91.00000 -0.241232E+01  0.161961E+00 -0.241237E+01  0.163561E+00 -0.511854E+01  -1383.143  -1372.483  -1365.861      91
    92.00000 -0.241232E+01  0.163973E+00 -0.241235E+01  0.165573E+00 -0.512202E+01  -1394.839  -1384.695  -1378.598      92
    93.00000 -0.241232E+01  0.164398E+00 -0.241232E+01  0.165998E+00 -0.512544E+01  -1405.101  -1395.388  -1389.731      93
    94.00000 -0.241232E+01  0.164398E+00 -0.241231E+01  0.166036E+00 -0.512880E+01  -1411.564  -1402.676  -1397.862      94
    95.00000 -0.241232E+01  0.164398E+00 -0.241231E+01  0.166078E+00 -0.513212E+01  -1417.982  -1409.481  -1405.063      95
    96.00000 -0.241232E+01  0.164398E+00 -0.241231E+01  0.166122E+00 -0.513541E+01  -1424.400  -1416.027  -1411.742      96
    97.00000 -0.241232E+01  0.164398E+00 -0.241231E+01  0.166165E+00 -0.513866E+01  -1430.840  -1422.501  -1418.251      97
    98.00000 -0.241232E+01  0.164398E+00 -0.241231E+01  0.166210E+00 -0.514187E+01  -1437.219  -1428.887  -1424.644      98
    99.00000 -0.241232E+01  0.164398E+00 -0.241231E+01  0.166254E+00 -0.514504E+01  -1443.535  -1435.203  -1430.960      99
   100.00000 -0.241232E+01  0.164398E+00 -0.241231E+01  0.166298E+00 -0.514818E+01  -1449.778  -1441.445  -1437.201     100
   101.00000 -0.241232E+01  0.164602E+00 -0.241232E+01  0.166508E+00 -0.515128E+01  -1455.949  -1447.616  -1443.372     101
   102.00000 -0.241232E+01  0.164796E+00 -0.241232E+01  0.166709E+00 -0.515434E+01  -1462.531  -1454.072  -1449.708     102
   103.00000 -0.241232E+01  0.165176E+00 -0.241232E+01  0.167090E+00 -0.515737E+01  -1468.850  -1460.369  -1455.985     103
   104.00000 -0.241232E+01  0.166468E+00 -0.241234E+01  0.168381E+00 -0.516036E+01  -1475.622  -1467.026  -1462.521     104
   105.00000 -0.241232E+01  0.169140E+00 -0.241236E+01  0.171053E+00 -0.516330E+01  -1484.548  -1475.465  -1470.464     105
   106.00000 -0.241232E+01  0.173116E+00 -0.241239E+01  0.175029E+00 -0.516618E+01  -1496.365  -1486.451  -1480.602     106
   107.00000 -0.241232E+01  0.178367E+00 -0.241242E+01  0.180280E+00 -0.516899E+01  -1510.610  -1499.766  -1492.970     107
   108.00000 -0.241232E+01  0.184955E+00 -0.241244E+01  0.186868E+00 -0.517172E+01  -1527.290  -1515.439  -1507.616     108
   109.00000 -0.241232E+01  0.192277E+00 -0.241246E+01  0.194190E+00 -0.517434E+01  -1546.521  -1533.544  -1524.576     109
   110.00000 -0.241232E+01  0.200026E+00 -0.241246E+01  0.201939E+00 -0.517686E+01  -1566.604  -1552.736  -1542.862     110
   111.00000 -0.241232E+01  0.207517E+00 -0.241246E+01  0.209430E+00 -0.517926E+01  -1587.232  -1572.631  -1562.017     111
   112.00000 -0.241232E+01  0.214174E+00 -0.241244E+01  0.216087E+00 -0.518155E+01  -1606.566  -1591.681  -1580.777     112
   113.00000 -0.241232E+01  0.219165E+00 -0.241241E+01  0.221078E+00 -0.518374E+01  -1623.629  -1608.947  -1598.243     113
   114.00000 -0.241232E+01  0.222600E+00 -0.241238E+01  0.224513E+00 -0.518585E+01  -1636.407  -1622.688  -1612.950     114
   115.00000 -0.241232E+01  0.224821E+00 -0.241235E+01  0.226734E+00 -0.518788E+01  -1645.985  -1633.464  -1624.937     115
   116.00000 -0.241232E+01  0.226030E+00 -0.241233E+01  0.227943E+00 -0.518986E+01  -1653.097  -1641.739  -1634.395     116
   117.00000 -0.241232E+01  0.226030E+00 -0.241231E+01  0.227966E+00 -0.519179E+01  -1658.238  -1647.940  -1641.680     117
   118.00000 -0.241232E+01  0.226030E+00 -0.241231E+01  0.228001E+00 -0.519369E+01  -1660.766  -1651.674  -1646.646     118
