

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    46.00000 -0.241232E+01  0.104445E+00 -0.241295E+01  0.104418E+00 -0.641249E+01  -1524.811  -1516.576  -1512.360      46
    47.00000 -0.241232E+01  0.104445E+00 -0.241295E+01  0.104418E+00 -0.642912E+01  -1546.710  -1538.485  -1534.279      47
    48.00000 -0.241232E+01  0.104445E+00 -0.241296E+01  0.104418E+00 -0.644481E+01  -1567.236  -1559.016  -1554.815      48
    49.00000 -0.241232E+01  0.104445E+00 -0.241296E+01  0.104418E+00 -0.645959E+01  -1586.627  -1578.409  -1574.209      49
    50.00000 -0.241232E+01  0.104445E+00 -0.241297E+01  0.104418E+00 -0.647353E+01  -1604.886  -1596.672  -1592.473      50
    51.00000 -0.241232E+01  0.104445E+00 -0.241297E+01  0.104418E+00 -0.648667E+01  -1622.108  -1613.896  -1609.700      51
    52.00000 -0.241232E+01  0.104445E+00 -0.241298E+01  0.104418E+00 -0.649905E+01  -1638.340  -1630.132  -1625.938      52
    53.00000 -0.241232E+01  0.104723E+00 -0.241298E+01  0.104691E+00 -0.651073E+01  -1653.645  -1645.440  -1641.248      53
    54.00000 -0.241232E+01  0.105000E+00 -0.241299E+01  0.104961E+00 -0.652172E+01  -1668.482  -1660.237  -1656.002      54
    55.00000 -0.241232E+01  0.105408E+00 -0.241299E+01  0.105357E+00 -0.653209E+01  -1686.218  -1677.602  -1673.045      55
    56.00000 -0.241232E+01  0.106246E+00 -0.241300E+01  0.106169E+00 -0.654217E+01  -1707.234  -1698.887  -1694.564      56
    57.00000 -0.241232E+01  0.107867E+00 -0.241301E+01  0.107734E+00 -0.655195E+01  -1728.603  -1720.186  -1715.790      57
    58.00000 -0.241232E+01  0.110304E+00 -0.241301E+01  0.110080E+00 -0.656144E+01  -1751.177  -1742.615  -1738.069      58
    59.00000 -0.241232E+01  0.113137E+00 -0.241302E+01  0.112796E+00 -0.657061E+01  -1774.671  -1765.926  -1761.193      59
    60.00000 -0.241232E+01  0.116258E+00 -0.241302E+01  0.115777E+00 -0.657947E+01  -1798.162  -1789.305  -1784.457      60
    61.00000 -0.241232E+01  0.119371E+00 -0.241301E+01  0.118740E+00 -0.658801E+01  -1821.568  -1812.621  -1807.678      61
    62.00000 -0.241232E+01  0.122581E+00 -0.241300E+01  0.121783E+00 -0.659624E+01  -1844.213  -1835.236  -1830.264      62
    63.00000 -0.241232E+01  0.125284E+00 -0.241300E+01  0.124336E+00 -0.660417E+01  -1866.503  -1857.479  -1852.458      63
    64.00000 -0.241232E+01  0.127480E+00 -0.241299E+01  0.126404E+00 -0.661182E+01  -1886.962  -1878.025  -1873.092      64
    65.00000 -0.241232E+01  0.130356E+00 -0.241300E+01  0.129103E+00 -0.661921E+01  -1906.026  -1897.193  -1892.367      65
    66.00000 -0.241232E+01  0.132916E+00 -0.241299E+01  0.131497E+00 -0.662634E+01  -1926.284  -1917.290  -1912.298      66
    67.00000 -0.241232E+01  0.134848E+00 -0.241298E+01  0.133299E+00 -0.663321E+01  -1944.769  -1935.817  -1930.869      67
    68.00000 -0.241232E+01  0.135595E+00 -0.241299E+01  0.133993E+00 -0.663985E+01  -1961.729  -1952.910  -1948.096      68
    69.00000 -0.241232E+01  0.135915E+00 -0.241299E+01  0.134291E+00 -0.664629E+01  -1975.724  -1967.211  -1962.714      69
